finding_id,severity,category,cwe,location,verified_status,plans_acceptance_milestone,plan_closes_at_milestone,task_id,evidence_artefact,closure_type,evidence_excerpt
PRIOR-R2-001,CRITICAL,row-level-security,CWE-639,packages/db/src/database.service.ts,still-open,M3 deferred,M3,M3-tbd,RLS policies + negative test suite,full,Only audit_events (and crypto_operation_records by migration) have RLS; forTenant() returns raw Prisma client. Single mi
PRIOR-R3-001,CRITICAL,tenant-isolation-bola,CWE-639,apps/control-plane/src/common/guards/tenant.guard.ts; packages/db/src/database.service.ts,still-open,M3 deferred,M3,M3-tbd,Same as R2-001 — structural tenant isolation,full,Tenant isolation relies entirely on application predicates; forTenant() does not set RLS context
PRIOR-R8-001,CRITICAL,cybersecurity-act-2024-incident-reporting,,repo-wide,still-open,M4 deferred,M4,M4-tbd,Incident reporting workflow UI (requires owner assigned),full (needs owner),No incident-reporting workflow; NCII applicability decision flow; owner; reporting deadline matrix; or statutory escalat
PRIOR-R1-001,HIGH,ci-cd-security,,.github/workflows/ci.yml,still-open,M3 deferred,M3.0,§8.1,CI SHA-pinning,full,32 uses of @v4 mutable tags; only trufflesecurity/trufflehog SHA-pinned at line 249
PRIOR-R1-002,HIGH,artifact-integrity,CWE-494,.github/workflows/ci.yml,still-open,M6 deferred,M6,M6-tbd,SHA256SUMS + cosign verify + Trivy gate,full,Artifacts uploaded/downloaded without checksum; signature; provenance; or image scan verification
PRIOR-R2-002,HIGH,audit-trail-integrity,CWE-778,apps/control-plane/src/modules/audit/audit.service.ts,still-open,M3 deferred,M3,M3-tbd,$transaction-wrapped audit+state tests,full,State change and audit write are separate await operations; no $transaction wrapping both
PRIOR-R3-002,HIGH,authentication-lifecycle,CWE-287,apps/control-plane/src/modules/auth/auth.controller.ts,still-open,M3 deferred,M3,M3-tbd,MFA (TOTP) + refresh rotation + lockout tests,full,No refresh-token rotation flow; MFA; lockout; or revocation list; JWT uses shared HS256 secret
PRIOR-R5-001,HIGH,dependency-pinning,CWE-829,apps/*/package.json; packages/*/package.json,still-open,M3 deferred,M3.0,"§5,§11",Exact-pinning + pnpm.overrides,full,Production and dev deps use caret ranges throughout; lockfile is sole tree determinism
PRIOR-R5-002,HIGH,vulnerability-scanning,,.github/workflows/ci.yml,partially-mitigated,M3 deferred,M3.0,§8.2,OSV Scanner replaces pnpm audit,full,pnpm audit now returns usable JSON (prior HTTP 410 resolved); 3 advisories present
PRIOR-R5-003,HIGH,sbom-provenance-signing,CWE-1357,.github/workflows/ci.yml; docker-compose.yml,still-open,M6 deferred,M6,M6-tbd,SBOM signing + SLSA provenance (M3.0 wires SBOM generation only),"partial at M3.0, full at M6",No SBOM; no provenance attestation; no image signing; mutable image tags (postgres:16-alpine; etc.)
